Columna 1,Columna 2,Columna 3,Columna 4,Columna 5,Columna 6,Columna 7,Columna 8
id,nombre_cliente,apellido_cliente,codigo_cliente,codigo_producto,sucursal,precio_venta,fecha_venta
1,Marchall,Bragg,5517-0281,H,Uruguay,$18187.62,15/04/2017
2,Reynolds,O'Dooghaine,2299-5711,B,Uruguay,$34633.28,18/05/2017
3,Randolph,BURWIN,0440-2160,J,Brasil,$48604.71,13/11/2017
4,Dosi,Fishby,6881-8577,B,Chile,$21652.55,21/10/2017
5,Cullan,Bridger,8860-4049,G,Uruguay,$653.56,10/09/2017
6,Donalt,Bilson,6018-9875,I,Brasil,$43437.62,
7,Vaughn,Pikesley,7010-1530,K,Chile,$46277.62,21/05/2017
8,Hubie,Clewett,0492-8086,T,Bolivia,$25309.73,30/01/2017
9,,Bunce,2121-1991,I,Bolivia,$14720.65,13/05/2017
10,Caesar,Bertolaccini,4987-0971,R,Peru,$11280.44,27/05/2017
11,Timothee,Heugle,5048-1378,A,Uruguay,$20361.14,17/11/2017
12,Allistir,Gomersal,4962-3927,C,Bolivia,$9394.10,25/09/2017
13,Brannon,McArdell,8162-2140,T,Argentina,$30332.42,03/01/2017
14,Brigitta,Nelthrop,4604-1303,S,Colombia,$30608.98,03/09/2017
15,Brear,Bodham,1670-9837,M,Brasil,$1554.64,11/09/2017
16,Cherrita,Shewan,8722-5897,H,Peru,$25389.00,25/01/2017
17,,Chippindale,4794-9350,O,Bolivia,$36084.91,06/03/2017
18,,Mechi,9739-7243,K,Colombia,$16569.45,23/08/2017
19,Christy,Batiste,6408-6669,I,Argentina,$4257.77,11/10/2017
20,Toddy,Shalliker,6330-5410,J,Brasil,$7388.32,22/06/2017
21,Lalo,Stitwell,6918-1322,S,Chile,$1214.37,01/09/2017
22,Agnola,Abramovitz,1451-8585,P,Chile,$3176.41,19/10/2017
23,Shaun,Easom,0135-4375,J,Uruguay,$1343.25,26/04/2017
24,Dmitri,Stanes,3741-7798,C,Peru,$39890.30,12/09/2017
25,Quinton,Durand,1084-2246,L,Colombia,$1330.66,12/03/2017
26,Merrie,Jonk,5289-0809,Q,Argentina,$3777.08,21/03/2017
27,Michel,Shelton,1326-7651,D,Bolivia,$2692.96,28/07/2017
28,Roslyn,Jedrych,1394-0326,L,Peru,$5840.05,13/12/2017
29,Jimmie,Cordey,3484-3721,H,Colombia,$9036.00,12/08/2017
30,Tammie,Brammall,3016-2636,M,Peru,$47776.96,15/03/2017
31,,Corbridge,8889-8367,E,Brasil,$8928.38,11/04/2017
32,Emalia,Varian,1957-0896,R,Uruguay,$14475.05,21/04/2017
33,Wain,Heritege,3442-2701,D,Brasil,$11660.70,12/07/2017
34,Karlene,Rosthorn,6257-0087,F,Chile,$33172.14,10/06/2017
35,Aindrea,Giuron,6199-3779,B,Brasil,$2738.04,26/06/2017
36,Georgie,Strangeway,5239-3605,R,Bolivia,$9006.74,17/02/2017
37,Trstram,Louisot,3235-3286,S,Uruguay,$41059.75,05/03/2017
38,Gil,McCook,3106-6983,F,Chile,$24210.31,25/08/2017
39,,Moxham,9030-4304,P,Uruguay,$34750.41,25/11/2017
40,Tiena,Pryde,4952-6292,R,Bolivia,$23091.50,21/02/2017
41,Jard,Martini,4659-6606,B,Chile,$27862.23,18/06/2017
42,Noel,Bonelle,1638-0384,A,Peru,$24596.39,14/03/2017
43,Marijn,Ramble,9060-7874,C,Peru,$34576.61,
44,Finley,Broader,1595-1337,K,Bolivia,$41069.53,04/10/2017
45,,Hattam,5166-9380,Q,Uruguay,$5657.80,29/12/2017
46,Valdemar,Hestrop,9390-5633,A,Uruguay,$40221.20,22/02/2017
47,Stephan,Matthews,3272-4454,P,Argentina,$6124.08,17/11/2017
48,Lari,Novello,7290-2718,H,Colombia,$31951.23,21/06/2017
49,Etty,Petrovsky,2363-6156,K,Argentina,$29835.98,16/08/2017
50,,Riddler,9463-3696,Q,Uruguay,$1916.64,25/10/2017
51,Meredith,Flynn,4422-5998,I,Uruguay,$33250.72,04/08/2017
52,Charlton,Pickrell,4944-6711,C,Uruguay,$43387.02,17/02/2017
53,Deina,Manser,5392-3438,I,Argentina,$48029.04,24/05/2017
54,Rodrigo,Connolly,0673-9798,M,Argentina,$39356.82,15/12/2017
55,Quintina,Pesek,6084-4633,S,Peru,$13797.29,20/05/2017
56,Celia,Stollman,1589-2190,L,Colombia,$17532.77,22/07/2017
57,Gregg,Laughrey,1809-1911,G,Argentina,$19458.26,22/08/2017
58,Carleton,Doddemeade,2053-1364,I,Colombia,$23693.63,09/11/2017
59,Brendin,Gilhouley,0297-3557,A,Argentina,$6263.75,01/03/2017
60,Marcel,Anstie,8830-1860,K,Uruguay,$4232.15,30/10/2017
61,Karola,Daburn,4355-7383,G,Brasil,$43414.16,02/10/2017
62,Lynnet,Ahrens,6900-9137,R,Chile,$44013.96,22/03/2017
63,Matthaeus,Draper,7059-2990,F,Bolivia,$46970.56,06/06/2017
64,Gregorius,Chappelow,3525-0789,P,Chile,$47216.08,25/09/2017
